Id_Game,Title,Description,Release_Date,MinAge,Genre
afd80098-982a-43e6-ad90-2ce8b9baaf81,"Grand Theft Auto","Set within the fictional Liberty City (based on New York City), the single-player story follows a war veteran, Niko Bellic, and his attempts to escape his past while under pressure from loan sharks and mob bosses",2008-04-29,18,"{'Action-adventure','Open Worldd'}"
226704ee-4bb5-4538-81da-06f199329f98,"Red Dead Redemption 2","Set in a fictional recreation of the American Old West in 1899, Red Dead Redemption 2 focuses on the life of Arthur Morgan and his position in the notorious Van der Linde gang. The game follows the gang's decline as they are pursued by lawmen, fellow gangs and Pinkerton agents. The narrative revolves around the characters of Dutch van der Linde, John Marston and Micah Bell in addition to Morgan.",2018-08-26,18,"{'Action-adventure','Third Person Shooter'}"
7851981f-f760-488c-b0fe-2b8d33c555e1,"Zelda Twilight Princess","The story focuses on series protagonist Link, who tries to prevent Hyrule from being engulfed by a corrupted parallel dimension known as the Twilight Realm. To do so, he takes the form of both a Hylian and a wolf, and is assisted by a mysterious creature named Midna.",2006-11-19,12,"{'Singel Player', 'Action-adventure'}"
35866628-abaa-4eb0-bb00-e5f816f3bb28,"Mario Kart 8","Players control characters from the Mario franchise and participate in kart racing on various race tracks, using a variety of items to hinder opponents or gain advantages in the race.",2008-05-14,3,"{'Kart Racing','Party Game','Multiplayer'}"
